counter,mission_link,mission_title,launch_date, launch_type,payload_text,payload_link,launch_remarks
59,https://www.isro.gov.in/Aditya_L1.html,PSLV-C57/Aditya-L1 Mission,Sep 02  2023,unknown,Aditya-L1 payloads,https://www.isro.gov.in/Aditya_L1_Payload.html,unknown
58,https://www.isro.gov.in/PSLVC56_DS_SAR_Mission.html,PSLV-C56/DS-SAR Mission,July 30  2023,unknown,DS-SAR,https://www.isro.gov.in/PSLVC56_DS_SAR_Mission.html,unknown
57,https://www.isro.gov.in/PSLV_C55MissionLandingPage.html,PSLV-C55/TeLEOS-2 Mission,Apr 22  2023,unknown,TeLEOS-2,https://www.isro.gov.in/PSLV_C55MissionLandingPage.html,unknown
56,https://www.isro.gov.in/mission_PSLV_C54.html,PSLV-C54/EOS-06 Mission,Nov 26  2022,unknown,EOS_06,https://www.isro.gov.in/EOS_06.html,unknown
55,https://www.isro.gov.in/mission_PSLV_C53.html,PSLV-C53/DS-EO Mission,Jun 30  2022,unknown,EOS_06,unknown,unknown
54,https://www.isro.gov.in/mission_PSLV_C52.html,PSLV-C52/EOS-04 Mission,Feb 14  2022,unknown,EOS_06,unknown,unknown
53,https://www.isro.gov.in/mission_PSLV_C51.html,PSLV-C51/Amazonia-1,Feb 28  2021,unknown,EOS_06,unknown,unknown
52,https://www.isro.gov.in/mission_PSLV_C50.html,PSLV-C50/CMS-01,Dec 17  2020,unknown,CMS-01,https://www.isro.gov.in/mission_PSLV_C50_CMS_01.html,unknown
51,https://www.isro.gov.in/mission_PSLV_C49.html,PSLV-C49/EOS-01,Nov 07  2020,unknown,EOS-01,https://www.isro.gov.in/mission_PSLV_C49_EOS_01.html,unknown
50,https://www.isro.gov.in/mission_PSLV_C48_RISAT_2BR1.html,PSLV-C48/RISAT-2BR1,Dec 11  2019,unknown,RISAT-2BR1,https://www.isro.gov.in/RISAT_2BR1.html,unknown
49,https://www.isro.gov.in/mission_PSLV_C47.html,PSLV-C47 / Cartosat-3 Mission,Nov 27  2019,unknown,Cartosat-3,https://www.isro.gov.in/Cartosat_3.html,unknown
48,https://www.isro.gov.in/mission_PSLV_C46.html,PSLV-C46 Mission,May 22  2019,unknown,RISAT-2B,https://www.isro.gov.in/RISAT_2B.html,unknown
47,https://www.isro.gov.in/mission_PSLV_C45.html,PSLV-C45/EMISAT MISSION,Apr 01  2019,unknown,EMISAT,https://www.isro.gov.in/EMISAT.html,unknown
46,https://www.isro.gov.in/mission_PSLV_C44.html,PSLV-C44,Jan 24  2019,unknown,Microsat-R,https://www.isro.gov.in/Microsat_R.html,unknown
45,https://www.isro.gov.in/mission_PSLV_C43.html,PSLV-C43 / HysIS Mission,Nov 29  2018,unknown,HysIS,https://www.isro.gov.in/HysIS.html,unknown
44,https://www.isro.gov.in/mission_PSLV_C42.html,PSLV-C42 Mission,Sep 16  2018,unknown,HysIS,unknown,unknown
43,https://www.isro.gov.in/mission_PSLV_C41.html,PSLV-C41/IRNSS-1I,Apr 12  2018,unknown,IRNSS-1I,https://www.isro.gov.in/IRNSS_1I.html,unknown
42,https://www.isro.gov.in/mission_PSLV_C40.html,PSLV-C40/Cartosat-2 Series Satellite Mission,Jan 12  2018,unknown,Cartosat-2 Series Satellite,https://www.isro.gov.in/CARTOSAT_2_PSLVC40.html,unknown
41,https://www.isro.gov.in/mission_PSLV_C39IRNSS_1H.html,PSLV-C39/IRNSS-1H Mission,Aug 31  2017,unknown,IRNSS-1H,https://www.isro.gov.in/IRNSS_1H.html,Mission Unsuccessful
